MapCHECK 3 Measurement File:	Measured File

Header:
File Revision:	A
File Name:	H:\Physics\Share\MapCHECK\MapCHECK_QA\276477001(Essen)\2025\6\Linearity_1000MU_4-Jun-2025-A.txt
Date:	06/04/25	Time:	21:44:18	
Calibration File:	6x_newMapcheck.cal
Software Version:	8.6.0.76

	Device Config
Model:	1178 MapCHECK 3
Serial:	276477001
Hardware Revision:	E3\D3
Firmware Version:	1.00.01.00
FPGA Version:	1.0.0
Diode Type:	4
EIB Total Counts:	17015502	15690259
Collection Interval:	50	ms

	Device Setup
Beam Energy:	6	MV
MapPHAN:	0	
Orientation:	0

	Dose Calibration
Dose Per Count:	2.363315171e-05
Energy:	6x
Time Stamp:	1749090200
Temperature:	19.95342752	C
Comments:	6x       BR3_6/4/2025

	Data Corrections Applied
Absolute Dose:	1
Temperature:	1
Angular:	1
Field Size:	0

	Measurement Info
Delivery Type:	VMAT
Temperature:	20.066
Update Count:	2122
Backgrounds Count:	1
Total Pulses:	39908
Total Time:	115450	ms
Beam ON Time:	106050	ms
CaxY:	33
CaxX:	27
Row Counts in 2D:	65
Col Counts in 2D:	53

Background
Ycm	ROW	
0.0	33	1.032791852000000	0.000000000000000	1.012552376000000	0.000000000000000	1.008850640000000	0.000000000000000	1.017298798000000	0.000000000000000	1.007044668000000	0.000000000000000	1.013627521000000	0.000000000000000	1.012470073000000	0.000000000000000	1.030656321000000	0.000000000000000	0.994009088200000	0.000000000000000	1.012446991000000	0.000000000000000	1.036761078000000	0.000000000000000	1.002172658000000	0.000000000000000	1.024074735000000	0.000000000000000	1.000000000000000	0.000000000000000	0.999951544800000	0.000000000000000	0.994528284000000	0.000000000000000	0.985289271100000	0.000000000000000	1.005680792000000	0.000000000000000	1.011664279000000	0.000000000000000	1.023506364000000	0.000000000000000	1.012369910000000	0.000000000000000	1.051236913000000	0.000000000000000	1.009074961000000	0.000000000000000	0.991880246700000	0.000000000000000	0.999980586800000	0.000000000000000	1.012982222000000	0.000000000000000	1.027789281000000
-0.5	32	0.000000000000000	1.095878435000000	0.000000000000000	1.072702724000000	0.000000000000000	1.038336993000000	0.000000000000000	1.069829706000000	0.000000000000000	1.066433635000000	0.000000000000000	1.067636312000000	0.000000000000000	1.074407329000000	0.000000000000000	1.050275241000000	0.000000000000000	1.079336543000000	0.000000000000000	1.060979010000000	0.000000000000000	1.083333870000000	0.000000000000000	1.106022354000000	0.000000000000000	1.057207665000000	0.000000000000000	1.060123626000000	0.000000000000000	1.045551801000000	0.000000000000000	1.092781308000000	0.000000000000000	1.058052974000000	0.000000000000000	1.065307297000000	0.000000000000000	1.073639551000000	0.000000000000000	1.082433332000000	0.000000000000000	1.062435125000000	0.000000000000000	1.082189682000000	0.000000000000000	1.033271560000000	0.000000000000000	1.087999219000000	0.000000000000000	1.070828741000000	0.000000000000000	1.065510741000000	0.000000000000000
-1.0	31	1.032143335000000	0.000000000000000	1.022711099000000	0.000000000000000	0.999696231800000	0.000000000000000	0.972453819400000	0.000000000000000	0.993942383400000	0.000000000000000	0.977425669300000	0.000000000000000	1.007660283000000	0.000000000000000	0.964818401500000	0.000000000000000	1.040640585000000	0.000000000000000	1.003727145000000	0.000000000000000	1.010694763000000	0.000000000000000	0.995252395200000	0.000000000000000	1.006325143000000	0.000000000000000	1.009999825000000	0.000000000000000	0.975960934400000	0.000000000000000	1.032695718000000	0.000000000000000	0.994962937100000	0.000000000000000	1.005615602000000	0.000000000000000	0.955197783000000	0.000000000000000	0.998378510800000	0.000000000000000	0.970052292500000	0.000000000000000	0.985176468700000	0.000000000000000	0.995955060100000	0.000000000000000	1.020291111000000	0.000000000000000	1.007897907000000	0.000000000000000	0.962859794300000	0.000000000000000	1.001041017000000
-1.5	30	0.000000000000000	1.102758994000000	0.000000000000000	1.056297396000000	0.000000000000000	1.069005077000000	0.000000000000000	1.096033270000000	0.000000000000000	1.076645826000000	0.000000000000000	1.041939315000000	0.000000000000000	1.054041549000000	0.000000000000000	1.044815171000000	0.000000000000000	1.056189897000000	0.000000000000000	1.112506093000000	0.000000000000000	1.089161757000000	0.000000000000000	1.077883358000000	0.000000000000000	1.062235391000000	0.000000000000000	1.095540642000000	0.000000000000000	1.049758552000000	0.000000000000000	1.056384361000000	0.000000000000000	1.063953272000000	0.000000000000000	1.070287554000000	0.000000000000000	1.078221766000000	0.000000000000000	1.041826029000000	0.000000000000000	1.065000026000000	0.000000000000000	1.074856239000000	0.000000000000000	1.072187979000000	0.000000000000000	1.079257284000000	0.000000000000000	1.100698903000000	0.000000000000000	1.110481086000000	0.000000000000000
-2.0	29	1.008769267000000	0.000000000000000	1.027713858000000	0.000000000000000	1.004554944000000	0.000000000000000	0.997093486500000	0.000000000000000	1.015645007000000	0.000000000000000	1.010588493000000	0.000000000000000	1.021614739000000	0.000000000000000	1.025877920000000	0.000000000000000	1.018687505000000	0.000000000000000	0.985506784200000	0.000000000000000	0.990371703700000	0.000000000000000	0.972127551600000	0.000000000000000	1.004457089000000	0.000000000000000	1.012753167000000	0.000000000000000	1.016173917000000	0.000000000000000	0.979864090300000	0.000000000000000	0.982577403900000	0.000000000000000	0.995310696000000	0.000000000000000	0.978878982400000	0.000000000000000	1.003694497000000	0.000000000000000	0.995293378100000	0.000000000000000	0.989266639300000	0.000000000000000	0.972271411500000	0.000000000000000	0.985497012400000	0.000000000000000	0.973688880700000	0.000000000000000	1.026137360000000	0.000000000000000	0.992277743200000
-2.5	28	0.000000000000000	1.075838961000000	0.000000000000000	1.054500787000000	0.000000000000000	1.088585175000000	0.000000000000000	1.063957446000000	0.000000000000000	1.055347260000000	0.000000000000000	1.047873150000000	0.000000000000000	1.063442266000000	0.000000000000000	1.092169318000000	0.000000000000000	1.070838118000000	0.000000000000000	1.098715126000000	0.000000000000000	1.089140971000000	0.000000000000000	1.064641714000000	0.000000000000000	1.096596948000000	0.000000000000000	1.069785911000000	0.000000000000000	1.072927910000000	0.000000000000000	1.072639134000000	0.000000000000000	1.048495495000000	0.000000000000000	1.063482208000000	0.000000000000000	1.083332191000000	0.000000000000000	1.041007287000000	0.000000000000000	1.043307189000000	0.000000000000000	1.061688385000000	0.000000000000000	1.099090018000000	0.000000000000000	1.084597409000000	0.000000000000000	1.099946097000000	0.000000000000000	1.079700035000000	0.000000000000000
-3.0	27	1.033674592000000	0.000000000000000	0.988347267400000	0.000000000000000	1.005059468000000	0.000000000000000	0.998849743200000	0.000000000000000	0.993367029700000	0.000000000000000	0.996838462900000	0.000000000000000	1.024383199000000	0.000000000000000	1.022655528000000	0.000000000000000	1.006648835000000	0.000000000000000	0.986432210900000	0.000000000000000	0.980469872300000	0.000000000000000	1.000249701000000	0.000000000000000	0.991777582500000	0.000000000000000	1.027029682000000	0.000000000000000	1.026942290000000	0.000000000000000	1.000764298000000	0.000000000000000	0.990546028600000	0.000000000000000	1.030309413000000	0.000000000000000	0.999003660500000	0.000000000000000	0.981288405000000	0.000000000000000	0.997724903600000	0.000000000000000	1.000285062000000	0.000000000000000	1.016001614000000	0.000000000000000	0.991103240400000	0.000000000000000	1.002552938000000	0.000000000000000	1.007086843000000	0.000000000000000	1.033968023000000
-3.5	26	0.000000000000000	1.045534749000000	0.000000000000000	1.061681965000000	0.000000000000000	1.089838026000000	0.000000000000000	1.071733088000000	0.000000000000000	1.064756971000000	0.000000000000000	1.079675082000000	0.000000000000000	1.056197140000000	0.000000000000000	1.067391153000000	0.000000000000000	1.050958336000000	0.000000000000000	1.033274595000000	0.000000000000000	1.065934879000000	0.000000000000000	1.055527083000000	0.000000000000000	1.091748398000000	0.000000000000000	1.052475266000000	0.000000000000000	1.061926498000000	0.000000000000000	1.061459166000000	0.000000000000000	1.085515649000000	0.000000000000000	1.066024852000000	0.000000000000000	1.069633921000000	0.000000000000000	1.073198170000000	0.000000000000000	1.068232298000000	0.000000000000000	1.062218962000000	0.000000000000000	1.075973416000000	0.000000000000000	1.068469934000000	0.000000000000000	1.107362915000000	0.000000000000000	1.078978782000000	0.000000000000000
-4.0	25	1.029835230000000	0.000000000000000	1.042176326000000	0.000000000000000	0.995999279100000	0.000000000000000	1.017352676000000	0.000000000000000	1.036353033000000	0.000000000000000	1.045019264000000	0.000000000000000	0.997967921400000	0.000000000000000	1.007467009000000	0.000000000000000	0.990678040000000	0.000000000000000	1.008170230000000	0.000000000000000	0.997218250800000	0.000000000000000	1.001566701000000	0.000000000000000	1.012549825000000	0.000000000000000	1.005969970000000	0.000000000000000	1.001859206000000	0.000000000000000	0.993159918600000	0.000000000000000	1.010342461000000	0.000000000000000	0.992295794800000	0.000000000000000	0.985065589600000	0.000000000000000	1.001980958000000	0.000000000000000	1.015984042000000	0.000000000000000	0.955056923600000	0.000000000000000	1.001666187000000	0.000000000000000	1.018629068000000	0.000000000000000	0.992543374700000	0.000000000000000	1.013048928000000	0.000000000000000	1.026781106000000
-4.5	24	0.000000000000000	1.073079317000000	0.000000000000000	1.046334453000000	0.000000000000000	1.068857792000000	0.000000000000000	1.076755232000000	0.000000000000000	1.062680182000000	0.000000000000000	1.065174240000000	0.000000000000000	1.055363161000000	0.000000000000000	1.049809249000000	0.000000000000000	1.065023087000000	0.000000000000000	1.065628239000000	0.000000000000000	1.075389218000000	0.000000000000000	1.070266416000000	0.000000000000000	1.089402733000000	0.000000000000000	1.072185769000000	0.000000000000000	1.055981812000000	0.000000000000000	1.083462336000000	0.000000000000000	1.080181603000000	0.000000000000000	1.058495556000000	0.000000000000000	1.040989672000000	0.000000000000000	1.077843398000000	0.000000000000000	1.060361085000000	0.000000000000000	1.096420373000000	0.000000000000000	1.060198013000000	0.000000000000000	1.059738807000000	0.000000000000000	1.087745889000000	0.000000000000000	1.083158858000000	0.000000000000000
-5.0	23	1.016590496000000	0.000000000000000	1.022510689000000	0.000000000000000	1.016812440000000	0.000000000000000	1.006797144000000	0.000000000000000	0.972071961700000	0.000000000000000	1.013672445000000	0.000000000000000	0.998281753600000	0.000000000000000	1.000493678000000	0.000000000000000	0.971391676500000	0.000000000000000	0.995640067800000	0.000000000000000	1.018390595000000	0.000000000000000	1.014994571000000	0.000000000000000	1.022633805000000	0.000000000000000	1.015780800000000	0.000000000000000	0.980927213800000	0.000000000000000	1.005677897000000	0.000000000000000	0.980427522100000	0.000000000000000	0.992954343600000	0.000000000000000	0.998650142500000	0.000000000000000	0.986286208000000	0.000000000000000	0.984023664400000	0.000000000000000	1.010648794000000	0.000000000000000	0.989385947800000	0.000000000000000	1.011864661000000	0.000000000000000	1.023237880000000	0.000000000000000	1.023009703000000	0.000000000000000	1.039590591000000
-5.5	22	0.000000000000000	1.089828229000000	0.000000000000000	1.094267305000000	0.000000000000000	1.052663456000000	0.000000000000000	1.071188057000000	0.000000000000000	1.078487079000000	0.000000000000000	1.054061321000000	0.000000000000000	1.092254490000000	0.000000000000000	1.103661767000000	0.000000000000000	1.051557267000000	0.000000000000000	1.061565395000000	0.000000000000000	1.087617127000000	0.000000000000000	1.080049401000000	0.000000000000000	1.070820549000000	0.000000000000000	1.057364823000000	0.000000000000000	1.076375612000000	0.000000000000000	1.070375357000000	0.000000000000000	1.059556121000000	0.000000000000000	1.055727525000000	0.000000000000000	1.064423501000000	0.000000000000000	1.111600357000000	0.000000000000000	1.072481127000000	0.000000000000000	1.059422045000000	0.000000000000000	1.056833704000000	0.000000000000000	1.088994248000000	0.000000000000000	1.048766157000000	0.000000000000000	1.083806609000000	0.000000000000000
-6.0	21	1.040719382000000	0.000000000000000	1.011006032000000	0.000000000000000	1.001792147000000	0.000000000000000	1.016953981000000	0.000000000000000	1.032496670000000	0.000000000000000	1.013764781000000	0.000000000000000	1.000441726000000	0.000000000000000	0.978392775300000	0.000000000000000	0.950054687700000	0.000000000000000	1.010248766000000	0.000000000000000	0.995912565800000	0.000000000000000	0.986453363900000	0.000000000000000	0.981993085700000	0.000000000000000	0.972404460900000	0.000000000000000	0.995232227800000	0.000000000000000	0.975889140800000	0.000000000000000	0.997279546500000	0.000000000000000	1.036587652000000	0.000000000000000	0.989581382100000	0.000000000000000	0.975841584700000	0.000000000000000	0.980515415900000	0.000000000000000	1.006950661000000	0.000000000000000	0.979260201400000	0.000000000000000	0.997492261400000	0.000000000000000	0.995799629000000	0.000000000000000	1.011086173000000	0.000000000000000	1.038361863000000
-6.5	20	0.000000000000000	1.082397592000000	0.000000000000000	1.065367756000000	0.000000000000000	1.069960961000000	0.000000000000000	1.055047948000000	0.000000000000000	1.052221693000000	0.000000000000000	1.052979565000000	0.000000000000000	1.071726047000000	0.000000000000000	1.052152943000000	0.000000000000000	1.053600373000000	0.000000000000000	1.072590304000000	0.000000000000000	1.075267038000000	0.000000000000000	1.068090603000000	0.000000000000000	1.084441430000000	0.000000000000000	1.072950465000000	0.000000000000000	1.054296285000000	0.000000000000000	1.030947655000000	0.000000000000000	1.069233118000000	0.000000000000000	1.062143114000000	0.000000000000000	1.062156071000000	0.000000000000000	1.076338302000000	0.000000000000000	1.087440624000000	0.000000000000000	1.064092115000000	0.000000000000000	1.076969954000000	0.000000000000000	1.047730591000000	0.000000000000000	1.071528545000000	0.000000000000000	1.079899797000000	0.000000000000000
-7.0	19	1.014978767000000	0.000000000000000	0.996586891900000	0.000000000000000	1.036632445000000	0.000000000000000	1.018599069000000	0.000000000000000	0.980585197800000	0.000000000000000	0.992568391800000	0.000000000000000	1.004403201000000	0.000000000000000	1.018070362000000	0.000000000000000	0.996496849300000	0.000000000000000	1.019709446000000	0.000000000000000	1.023488121000000	0.000000000000000	1.015135387000000	0.000000000000000	1.008998991000000	0.000000000000000	1.007295655000000	0.000000000000000	0.959887389400000	0.000000000000000	1.004490490000000	0.000000000000000	1.013475730000000	0.000000000000000	1.008071453000000	0.000000000000000	1.016802304000000	0.000000000000000	0.990005653700000	0.000000000000000	0.991533342600000	0.000000000000000	1.002317174000000	0.000000000000000	1.016342550000000	0.000000000000000	1.029635680000000	0.000000000000000	1.000810945000000	0.000000000000000	1.001088480000000	0.000000000000000	1.029595406000000
-7.5	18	0.000000000000000	1.101912945000000	0.000000000000000	1.087811463000000	0.000000000000000	1.066419134000000	0.000000000000000	1.050952153000000	0.000000000000000	1.041402056000000	0.000000000000000	1.054466335000000	0.000000000000000	1.044961725000000	0.000000000000000	1.078284586000000	0.000000000000000	1.058468581000000	0.000000000000000	1.078200172000000	0.000000000000000	1.083915180000000	0.000000000000000	1.070975452000000	0.000000000000000	1.075355872000000	0.000000000000000	1.085454556000000	0.000000000000000	1.029661643000000	0.000000000000000	1.062652280000000	0.000000000000000	1.060070690000000	0.000000000000000	1.076456860000000	0.000000000000000	1.052480646000000	0.000000000000000	1.075208968000000	0.000000000000000	1.022257021000000	0.000000000000000	1.063052879000000	0.000000000000000	1.043029011000000	0.000000000000000	1.075167161000000	0.000000000000000	1.080419871000000	0.000000000000000	1.093594741000000	0.000000000000000
